zipcode,num_fires_2017_2019,avg_acres,min_acres,avg_distance_m,min_distance_m
91501,3,7557.168094476064,1.006724834442139,164488.29617165617,3740.5659559133483
91504,3,7557.168094476064,1.006724834442139,164389.0126074184,3023.176713554948
91506,4,5760.702975153923,1.006724834442139,164252.37639689108,6573.8810304785575
91605,4,5760.702975153923,1.006724834442139,164486.96510738006,8227.385132091998
91606,4,5760.702975153923,1.006724834442139,164328.40820095,7170.078684344614
91607,4,5760.702975153923,1.006724834442139,164327.80889996776,5258.626573295253
91608,4,5760.702975153923,1.006724834442139,164243.26052121416,2877.0026027855633
91701,1,14.0169677734375,14.0169677734375,182197.72260924923,8479.57286459852
91702,1,138.7085418701172,138.7085418701172,173831.3670842587,3746.7679930223435
91706,6,7.689994281778733,0.113159507513046,168240.53720688942,11198.32111866526
91709,9,1338.7508847740376,0.011728066951036,175047.9782421949,9831.803673071765
91722,5,27.897922582924366,0.113159507513046,169785.4841467356,13726.031655690773
91723,5,5.804572363197804,0.113159507513046,170237.790674775,13827.524801981139
91724,5,5.804572363197804,0.113159507513046,171150.93295626438,14087.41643986404
91731,5,9.204077211022376,0.113159507513046,166825.04580886936,9921.854098038952
91733,3,0.22049713631471,0.113159507513046,166720.4116662273,7544.293582134267
91739,3,42.21207936604818,14.0169677734375,186860.10035898766,11056.188168798186
91741,2,76.36275482177734,14.0169677734375,172358.92096837278,8982.001366889446
91744,6,5.5782644512752695,0.113159507513046,168690.71457744137,6326.358885820787
91748,6,5.5782644512752695,0.113159507513046,169743.17917844615,1829.0610657288214
91750,2,76.36275482177734,14.0169677734375,175000.46165059254,9066.72225383602
91752,1,156.37725830078125,156.37725830078125,184677.24782336593,13426.724009206566
91761,1,156.37725830078125,156.37725830078125,181676.8580463936,13832.305270415563
91762,1,156.37725830078125,156.37725830078125,179070.38093789102,12320.32859750098
91763,1,14.0169677734375,14.0169677734375,176927.7440002842,12045.834533770796
91768,2,14.180685203522444,0.119579635560513,173198.26843313678,14297.626866208582
91770,4,0.226045686751604,0.113159507513046,166286.16889407957,11024.066702695089
91773,2,76.36275482177734,14.0169677734375,172939.39879228402,14329.211662970592
91775,3,15.220006197690964,0.242691338062286,166163.79889066034,8251.505108014686
91776,3,15.220006197690964,0.242691338062286,166084.57662385853,10957.116718804897
91780,4,11.443294525146484,0.113159507513046,166631.53795563278,10363.434286600725
91784,1,14.0169677734375,14.0169677734375,179484.6541924149,4608.8163073184505
91786,1,14.0169677734375,14.0169677734375,178856.68509987247,8343.490594375702
91790,5,5.804572363197804,0.113159507513046,168778.01715188444,9332.523493800747
91791,5,5.804572363197804,0.113159507513046,169870.87868228243,11136.879656463901
91792,6,5.5782644512752695,0.113159507513046,169603.4937307314,7191.668039648752
91801,3,15.220006197690964,0.242691338062286,165720.83931506894,11248.375095744463
91910,1,27.51976203918457,27.51976203918457,299381.1742248621,13954.98068030815
91911,1,27.51976203918457,27.51976203918457,302387.5135895518,13266.624512370201
91942,1,141.95477294921875,141.95477294921875,288484.3236400958,15485.375846151723
91977,2,84.73726749420166,27.51976203918457,294327.55631722853,14622.938048022563
92020,2,79.32517433166504,16.695575714111328,289575.10173070733,10663.217842506043
92021,5,143.63701972961425,13.088418960571289,291570.62756193284,5548.086101637778
92026,2,2051.3180713653564,22.02139663696289,247150.9435915806,12427.48157787957
92027,2,168.94567584991455,10.305231094360352,261065.47661146463,6517.077985631126
92028,3,1432.9918349583943,12.10395336151123,228411.36581242655,3284.081044999478
92040,5,143.63701972961425,13.088418960571289,284853.4709327944,11056.96989265575
92056,1,4080.61474609375,4080.61474609375,238342.01833669888,13641.075045795571
92058,1,4080.61474609375,4080.61474609375,229957.32678632843,13633.827430584523
92069,1,4080.61474609375,4080.61474609375,247933.5098537052,14767.437310974263
92071,2,79.32517433166504,16.695575714111328,283618.26165256824,14634.517605062916
92083,1,4080.61474609375,4080.61474609375,240804.65314027556,12098.682827152985
92084,1,4080.61474609375,4080.61474609375,241208.16527999967,8567.372600838602
